,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
175,175,2452,22.13726753,12.65013276,0.674170817,b,1,0.435678665,2.413634942,18.71684457,2.452,0.038365058,1.182745705
176,176,2493,19.6032411,13.02961815,0.687963312,b,1,0.435678665,2.413634942,18.71684457,2.493,0.079365058,1.047358225
177,177,2479,20.52346913,13.2824498,0.67419628,b,1,0.435678665,2.413634942,18.71684457,2.479,0.065365058,1.096523992
178,178,2446,22.15003379,13.5506357,0.700854408,b,1,0.435678665,2.413634942,18.71684457,2.446,0.032365058,1.183427778
179,179,2485,20.07555692,13.85775706,0.691150848,b,1,0.435678665,2.413634942,18.71684457,2.485,0.071365058,1.072593024
180,180,2264,-5,14.07216395,0.696048319,b,1,0.435678665,2.413634942,18.71684457,2.264,-0.149634942,-0.267139046
181,181,2491,13.58744067,NA,0.369973521,b,2,0.435678665,2.413634942,18.71684457,2.491,0.077365058,0.725947187
182,182,2199,-5,13.58744067,0.384984914,b,2,0.435678665,2.413634942,18.71684457,2.199,-0.214634942,-0.267139046
183,183,2478,16.93451608,4.293720337,0.390413583,b,2,0.435678665,2.413634942,18.71684457,2.478,0.064365058,0.904774094
184,184,2220,-5,8.507318919,0.36616577,b,2,0.435678665,2.413634942,18.71684457,2.22,-0.193634942,-0.267139046
185,185,2517,6.300776716,5.13048919,0.321750554,b,2,0.435678665,2.413634942,18.71684457,2.517,0.103365058,0.336636696
186,186,2388,33.94159969,5.364546695,0.337791959,b,2,0.435678665,2.413634942,18.71684457,2.388,-0.025634942,1.813425311
187,187,2362,39.8762206,10.12738886,0.329367382,b,2,0.435678665,2.413634942,18.71684457,2.362,-0.051634942,2.130499105
188,188,2225,-5,14.37722197,0.316345202,b,2,0.435678665,2.413634942,18.71684457,2.225,-0.188634942,-0.267139046
189,189,2413,27.83562053,11.95506922,0.332502828,b,2,0.435678665,2.413634942,18.71684457,2.413,-0.000634942,1.487196222
190,190,2487,10.49929926,13.71957492,0.320618052,b,2,0.435678665,2.413634942,18.71684457,2.487,0.073365058,0.560954557
191,191,2305,47.32145881,13.39754736,0.322865381,b,2,0.435678665,2.413634942,18.71684457,2.305,-0.108634942,2.528281871
192,192,2510,6.414403428,16.48153931,0.312247145,b,2,0.435678665,2.413634942,18.71684457,2.51,0.096365058,0.342707522
193,193,2270,-5,15.64261132,0.332388451,b,2,0.435678665,2.413634942,18.71684457,2.27,-0.143634942,-0.267139046
194,194,2268,-5,14.05471814,0.333514718,b,2,0.435678665,2.413634942,18.71684457,2.268,-0.145634942,-0.267139046
195,195,2447,22.63697612,12.69366684,0.398522446,b,2,0.435678665,2.413634942,18.71684457,2.447,0.033365058,1.20944404
196,196,2104,-5,13.35655413,0.410383915,b,2,0.435678665,2.413634942,18.71684457,2.104,-0.309634942,-0.267139046
197,197,2189,-5,12.20926949,0.401944426,b,2,0.435678665,2.413634942,18.71684457,2.189,-0.224634942,-0.267139046
198,198,2398,31.28250698,11.19695952,0.387644864,b,2,0.435678665,2.413634942,18.71684457,2.398,-0.015634942,1.671355813
199,199,2487,14.96706357,12.31282327,0.381719969,b,2,0.435678665,2.413634942,18.71684457,2.487,0.073365058,0.799657416
200,200,2450,21.24076044,12.45252013,0.374546972,b,2,0.435678665,2.413634942,18.71684457,2.45,0.036365058,1.134847295
201,201,2091,-5,12.89193215,0.37801417,b,2,0.435678665,2.413634942,18.71684457,2.091,-0.322634942,-0.267139046
202,202,2464,19.59997881,12.03993538,0.396584151,b,2,0.435678665,2.413634942,18.71684457,2.464,0.050365058,1.047183928
203,203,2410,29.15684354,12.38357371,0.378142315,b,2,0.435678665,2.413634942,18.71684457,2.41,-0.003634942,1.557786273
204,204,2371,36.40750099,13.11284632,0.36804949,b,2,0.435678665,2.413634942,18.71684457,2.371,-0.042634942,1.945173015
205,205,2418,27.55811493,14.08345693,0.373251365,b,2,0.435678665,2.413634942,18.71684457,2.418,0.004365058,1.472369706
206,206,2365,36.91893055,14.62244325,0.377030145,b,2,0.435678665,2.413634942,18.71684457,2.365,-0.048634942,1.972497576
207,207,2406,29.92727173,15.48000045,0.370720757,b,2,0.435678665,2.413634942,18.71684457,2.406,-0.007634942,1.598948563
208,208,2168,-5,16.01508457,0.379320841,b,2,0.435678665,2.413634942,18.71684457,2.168,-0.245634942,-0.267139046
209,209,2247,-5,15.26454584,0.365018149,b,2,0.435678665,2.413634942,18.71684457,2.247,-0.166634942,-0.267139046
210,210,2484,13.93225755,14.5657684,0.357663251,b,2,0.435678665,2.413634942,18.71684457,2.484,0.070365058,0.744369998
211,211,2496,14.10944812,NA,0.391450641,b,3,0.435678665,2.413634942,18.71684457,2.496,0.082365058,0.753836902
212,212,2156,-5,14.10944812,0.411293747,b,3,0.435678665,2.413634942,18.71684457,2.156,-0.257634942,-0.267139046
213,213,2497,14.64261664,4.554724062,0.40399412,b,3,0.435678665,2.413634942,18.71684457,2.497,0.083365058,0.782322928
