,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
185,185,2147,14.64986713,9.345177249,1.4708,b,2,0.669075801,2.143516077,16.59974155,2.147,0.003483923,0.882535857
186,186,2124,19.42210342,10.40611523,0.837981225,b,2,0.669075801,2.143516077,16.59974155,2.124,-0.019516077,1.170024447
187,187,2181,21.48522858,11.90877992,0.822030983,b,2,0.669075801,2.143516077,16.59974155,2.181,0.037483923,1.29431103
188,188,2286,29.6754768,13.27684402,0.590060214,b,2,0.669075801,2.143516077,16.59974155,2.286,0.142483923,1.787707159
189,189,2425,-5,15.32667312,0.626088267,b,2,0.669075801,2.143516077,16.59974155,2.425,0.281483923,-0.301209509
190,190,2151,23.28111868,13.06815388,0.575424651,b,2,0.669075801,2.143516077,16.59974155,2.151,0.007483923,1.402498865
191,191,2318,-5,14.08945036,0.609916903,b,2,0.669075801,2.143516077,16.59974155,2.318,0.174483923,-0.301209509
192,192,2373,-5,12.35404578,0.583534358,b,2,0.669075801,2.143516077,16.59974155,2.373,0.229483923,-0.301209509
193,193,2221,27.59825908,10.9078753,0.594514139,b,2,0.669075801,2.143516077,16.59974155,2.221,0.077483923,1.662571613
194,194,2126,21.15412293,12.19175098,0.581492279,b,2,0.669075801,2.143516077,16.59974155,2.126,-0.017516077,1.274364596
195,195,2139,20.83741023,12.8319204,0.417644283,b,2,0.669075801,2.143516077,16.59974155,2.139,-0.004516077,1.25528522
196,196,1987,0,13.36561972,0.1,b,2,0.669075801,2.143516077,16.59974155,1.987,-0.156516077,0
197,197,2047,0,12.53026849,0.1,b,2,0.669075801,2.143516077,16.59974155,2.047,-0.096516077,0
198,198,2173,26.33570307,11.79319387,0.419558552,b,2,0.669075801,2.143516077,16.59974155,2.173,0.029483923,1.586512838
199,199,2150,23.43533997,12.60111105,0.487147556,b,2,0.669075801,2.143516077,16.59974155,2.15,0.006483923,1.411789449
200,200,2241,29.50885835,13.17133363,0.562831687,b,2,0.669075801,2.143516077,16.59974155,2.241,0.097483923,1.777669746
201,201,2356,-5,13.98820986,0.563959142,b,2,0.669075801,2.143516077,16.59974155,2.356,0.212483923,-0.301209509
202,202,2487,-5,13.08400939,0.506110688,b,2,0.669075801,2.143516077,16.59974155,2.487,0.343483923,-0.301209509
203,203,2103,14.68922239,12.26200897,0.404891786,b,2,0.669075801,2.143516077,16.59974155,2.103,-0.040516077,0.884906692
204,204,1958,12.60371591,12.36753998,1.446441332,b,2,0.669075801,2.143516077,16.59974155,1.958,-0.185516077,0.759271816
205,205,2037,4.00E-19,12.37738065,0.110657221,b,2,0.669075801,2.143516077,16.59974155,2.037,-0.106516077,2.41E-20
206,206,2474,-5,11.88228542,0.44441921,b,2,0.669075801,2.143516077,16.59974155,2.474,0.330483923,-0.301209509
207,207,2126,2.50E-06,11.23296675,0.116355165,b,2,0.669075801,2.143516077,16.59974155,2.126,-0.017516077,1.51E-07
208,208,2112,18.81113353,10.81693104,0.858949454,b,2,0.669075801,2.143516077,16.59974155,2.112,-0.031516077,1.133218458
209,209,2133,20.89759002,11.10243827,0.717705141,b,2,0.669075801,2.143516077,16.59974155,2.133,-0.010516077,1.258910565
210,210,2149,22.93481054,11.44020212,0.599175323,b,2,0.669075801,2.143516077,16.59974155,2.149,0.005483923,1.381636604
211,211,1978,12.81821364,NA,1.4708,b,3,0.669075801,2.143516077,16.59974155,1.978,-0.165516077,0.772193567
212,212,2162,22.84392371,12.81821364,0.679133301,b,3,0.669075801,2.143516077,16.59974155,2.162,0.018483923,1.376161408
213,213,2365,-5,17.83106867,0.494184737,b,3,0.669075801,2.143516077,16.59974155,2.365,0.221483923,-0.301209509
214,214,2199,25.94231595,10.22071245,0.615619889,b,3,0.669075801,2.143516077,16.59974155,2.199,0.055483923,1.562814449
215,215,2068,12.62962579,14.15111332,0.458153159,b,3,0.669075801,2.143516077,16.59974155,2.068,-0.075516077,0.760832676
216,216,2454,-5,13.84681582,0.449620473,b,3,0.669075801,2.143516077,16.59974155,2.454,0.310483923,-0.301209509
217,217,2150,20.50564952,10.70567985,0.822418279,b,3,0.669075801,2.143516077,16.59974155,2.15,0.006483923,1.235299324
